Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	firstLadderSeason	lastLadderSeason	*eol
Act 5 Chest B	6	34	4					173	gld	10	Junk	15	Act 5 Equip B	10	Act 5 Good	4																		0
Act 5 Chest C	6	36	4					173	gld	10	Junk	15	Act 5 Equip B	10	Act 5 Good	4																		0
Act 1 (N) Chest A	6	38	4					173	gld	10	Junk (N)	15	Act 1 (N) Equip A	10	Act 1 (N) Good	4																		0
Act 1 (N) Chest B	6	40	4					173	gld	10	Junk (N)	15	Act 1 (N) Equip B	10	Act 1 (N) Good	4																		0
Act 1 (N) Chest C	6	42	4					173	gld	10	Junk (N)	15	Act 1 (N) Equip B	10	Act 1 (N) Good	4																		0
Act 2 (N) Chest A	6	44	4					173	gld	10	Junk (N)	15	Act 2 (N) Equip A	10	Act 2 (N) Good	4																		0
Act 2 (N) Chest B	6	46	4					173	gld	10	Junk (N)	15	Act 2 (N) Equip B	10	Act 2 (N) Good	4																		0
Act 2 (N) Chest C	6	48	4					173	gld	10	Junk (N)	15	Act 2 (N) Equip B	10	Act 2 (N) Good	4																		0
Act 3 (N) Chest A	6	50	4					173	gld	10	Junk (N)	15	Act 3 (N) Equip A	10	Act 3 (N) Good	4																		0
Act 3 (N) Chest B	6	52	4					173	gld	10	Junk (N)	15	Act 3 (N) Equip B	10	Act 3 (N) Good	4																		0
Act 3 (N) Chest C	6	54	4					173	gld	10	Junk (N)	15	Act 3 (N) Equip B	10	Act 3 (N) Good	4																		0
Act 4 (N) Chest A	6	56	4					173	gld	10	Junk (N)	15	Act 4 (N) Equip A	10	Act 4 (N) Good	4																		0
Act 4 (N) Chest B	6	58	4					173	gld	10	Junk (N)	15	Act 4 (N) Equip B	10	Act 4 (N) Good	4																		0
Act 4 (N) Chest C	6	60	4					173	gld	10	Junk (N)	15	Act 4 (N) Equip C	10	Act 4 (N) Good	4																		0
Act 5 (N) Chest A	6	62	4					173	gld	10	Junk (N)	15	Act 5 (N) Equip A	10	Act 5 (N) Good	4																		0
Act 5 (N) Chest B	6	64	4					173	gld	10	Junk (N)	15	Act 5 (N) Equip B	10	Act 5 (N) Good	4																		0
Act 5 (N) Chest C	6	66	4					173	gld	10	Junk (N)	15	Act 5 (N) Equip B	10	Act 5 (N) Good	4																		0
Act 1 (H) Chest A	6	68	4					173	gld	10	Junk (H)	15	Act 1 (H) Equip A	10	Act 1 (H) Good	4																		0
Act 1 (H) Chest B	6	70	4					173	gld	10	Junk (H)	15	Act 1 (H) Equip B	10	Act 1 (H) Good	4																		0
Act 1 (H) Chest C	6	71	4					173	gld	10	Junk (H)	15	Act 1 (H) Equip B	10	Act 1 (H) Good	4																		0
Act 2 (H) Chest A	6	72	4					173	gld	10	Junk (H)	15	Act 2 (H) Equip A	10	Act 2 (H) Good	4																		0
Act 2 (H) Chest B	6	74	4					173	gld	10	Junk (H)	15	Act 2 (H) Equip B	10	Act 2 (H) Good	4																		0
Act 2 (H) Chest C	6	75	4					173	gld	10	Junk (H)	15	Act 2 (H) Equip B	10	Act 2 (H) Good	4																		0
Act 3 (H) Chest A	6	76	4					173	gld	10	Junk (H)	15	Act 3 (H) Equip A	10	Act 3 (H) Good	4																		0
Act 3 (H) Chest B	6	78	4					173	gld	10	Junk (H)	15	Act 3 (H) Equip B	10	Act 3 (H) Good	4																		0
Act 3 (H) Chest C	6	79	4					173	gld	10	Junk (H)	15	Act 3 (H) Equip B	10	Act 3 (H) Good	4																		0
Act 4 (H) Chest A	6	80	4					173	gld	10	Junk (H)	15	Act 4 (H) Equip A	10	Act 4 (H) Good	4																		0
Act 4 (H) Chest B	6	81	4					173	gld	10	Junk (H)	15	Act 4 (H) Equip B	10	Act 4 (H) Good	4																		0
Act 4 (H) Chest C	6	82	4					173	gld	10	Junk (H)	15	Act 4 (H) Equip B	10	Act 4 (H) Good	4																		0
Act 5 (H) Chest A	6	83	4					173	gld	10	Junk (H)	15	Act 5 (H) Equip A	10	Act 5 (H) Good	4																		0
Act 5 (H) Chest B	6	84	4					173	gld	10	Junk (H)	15	Act 5 (H) Equip B	10	Act 5 (H) Good	4																		0
Act 5 (H) Chest C	6	85	4					173	gld	10	Junk (H)	15	Act 5 (H) Equip B	10	Act 5 (H) Good	4																		0
Act 1 H2H A	7	0	1					95	gld	21	Act 1 Equip A	16	Junk	21	Act 1 Good	4																		0
Act 1 H2H B	7	5	1					95	gld	21	Act 1 Equip B	16	Junk	21	Act 1 Good	4																		0
Act 1 H2H C	7	9	1					95	gld	21	Act 1 Equip C	16	Junk	21	Act 1 Good	4																		0
Act 2 H2H A	7	12	1					95	gld	21	Act 2 Equip A	16	Junk	21	Act 2 Good	4																		0
Act 2 H2H B	7	15	1					95	gld	21	Act 2 Equip B	16	Junk	21	Act 2 Good	4																		0
Act 2 H2H C	7	18	1					95	gld	21	Act 2 Equip C	16	Junk	21	Act 3 Good	4																		0
Act 3 H2H A	7	20	1					95	gld	21	Act 3 Equip A	16	Junk	21	Act 3 Good	4																		0
Act 3 H2H B	7	22	1					95	gld	21	Act 3 Equip B	16	Junk	21	Act 3 Good	4																		0
Act 3 H2H C	7	24	1					95	gld	21	Act 3 Equip C	16	Junk	21	Act 3 Good	4																		0
Act 4 H2H A	7	26	1					95	gld	21	Act 4 Equip A	16	Junk	21	Act 4 Good	4																		0
Act 4 H2H B	7	29	1					95	gld	21	Act 4 Equip B	16	Junk	21	Act 4 Good	4																		0
Act 5 H2H A	7	32	1					95	gld	21	Act 5 Equip A	16	Junk	21	Act 5 Good	4																		0
Act 5 H2H B	7	34	1					95	gld	21	Act 5 Equip B	16	Junk	21	Act 5 Good	4																		0
Act 5 H2H C	7	36	1					95	gld	21	Act 5 Equip C	16	Junk	21	Act 5 Good	4																		0
Act 1 (N) H2H A	7	38	1					95	gld	21	Act 1 (N) Equip A	16	Junk (N)	21	Act 1 (N) Good	4																		0
Act 1 (N) H2H B	7	40	1					95	gld	21	Act 1 (N) Equip B	16	Junk (N)	21	Act 1 (N) Good	4																		0
Act 1 (N) H2H C	7	41	1					95	gld	21	Act 1 (N) Equip B	16	Junk (N)	21	Act 1 (N) Good	4																		0
Act 2 (N) H2H A	7	42	1					95	gld	21	Act 2 (N) Equip A	16	Junk (N)	21	Act 2 (N) Good	4																		0
Act 2 (N) H2H B	7	44	1					95	gld	21	Act 2 (N) Equip B	16	Junk (N)	21	Act 2 (N) Good	4																		0
Act 2 (N) H2H C	7	45	1					95	gld	21	Act 2 (N) Equip B	16	Junk (N)	21	Act 2 (N) Good	4																		0
Act 3 (N) H2H A	7	46	1					95	gld	21	Act 3 (N) Equip A	16	Junk (N)	21	Act 3 (N) Good	4																		0
Act 3 (N) H2H B	7	48	1					95	gld	21	Act 3 (N) Equip B	16	Junk (N)	21	Act 3 (N) Good	4																		0
Act 3 (N) H2H C	7	50	1					95	gld	21	Act 3 (N) Equip B	16	Junk (N)	21	Act 3 (N) Good	4																		0
Act 4 (N) H2H A	7	51	1					95	gld	21	Act 4 (N) Equip A	16	Junk (N)	21	Act 4 (N) Good	4																		0
Act 4 (N) H2H B	7	54	1					95	gld	21	Act 4 (N) Equip B	16	Junk (N)	21	Act 4 (N) Good	4																		0
Act 5 (N) H2H A	7	57	1					95	gld	21	Act 5 (N) Equip A	16	Junk (N)	21	Act 5 (N) Good	4																		0
Act 5 (N) H2H B	7	60	1					95	gld	21	Act 5 (N) Equip B	16	Junk (N)	21	Act 5 (N) Good	4																		0
Act 5 (N) H2H C	7	62	1					95	gld	21	Act 5 (N) Equip C	16	Junk (N)	21	Act 5 (N) Good	4																		0
Act 1 (H) H2H A	7	63	1					95	gld	21	Act 1 (H) Equip A	16	Junk (H)	21	Act 1 (H) Good	4																		0
Act 1 (H) H2H B	7	66	1					95	gld	21	Act 1 (H) Equip B	16	Junk (H)	21	Act 1 (H) Good	4																		0
Act 1 (H) H2H C	7	68	1					95	gld	21	Act 1 (H) Equip B	16	Junk (H)	21	Act 1 (H) Good	4																		0
Act 2 (H) H2H A	7	69	1					95	gld	21	Act 2 (H) Equip A	16	Junk (H)	21	Act 2 (H) Good	4																		0
Act 2 (H) H2H B	7	71	1					95	gld	21	Act 2 (H) Equip B	16	Junk (H)	21	Act 2 (H) Good	4																		0
Act 2 (H) H2H C	7	73	1					95	gld	21	Act 2 (H) Equip B	16	Junk (H)	21	Act 2 (H) Good	4																		0
Act 3 (H) H2H A	7	74	1					95	gld	21	Act 3 (H) Equip A	16	Junk (H)	21	Act 3 (H) Good	4																		0
Act 3 (H) H2H B	7	76	1					95	gld	21	Act 3 (H) Equip B	16	Junk (H)	21	Act 3 (H) Good	4																		0
Act 3 (H) H2H C	7	77	1					95	gld	21	Act 3 (H) Equip B	16	Junk (H)	21	Act 3 (H) Good	4																		0
Act 4 (H) H2H A	7	79	1					95	gld	21	Act 4 (H) Equip A	16	Junk (H)	21	Act 4 (H) Good	4																		0
Act 4 (H) H2H B	7	80	1					95	gld	21	Act 4 (H) Equip B	16	Junk (H)	21	Act 4 (H) Good	4																		0
Act 5 (H) H2H A	7	82	1					95	gld	21	Act 5 (H) Equip A	16	Junk (H)	21	Act 5 (H) Good	4																		0
Act 5 (H) H2H B	7	83	1					95	gld	21	Act 5 (H) Equip B	16	Junk (H)	21	Act 5 (H) Good	4																		0
Act 5 (H) H2H C	7	85	1					95	gld	21	Act 5 (H) Equip C	16	Junk (H)	21	Act 5 (H) Good	4																		0
Act 1 Cast A	8	0	1					95	gld	18	Act 1 Equip A	15	Junk	18	Act 1 Good	4	Potion 0	7																0
Act 1 Cast B	8	5	1					95	gld	18	Act 1 Equip B	15	Junk	18	Act 1 Good	4	Potion 0	7																0
Act 1 Cast C	8	9	1					95	gld	18	Act 1 Equip C	15	Junk	18	Act 1 Good	4	Potion 0	7																0
Act 2 Cast A	8	12	1					95	gld	18	Act 2 Equip A	15	Junk	18	Act 2 Good	4	Potion 0	7																0
Act 2 Cast B	8	15	1					95	gld	18	Act 2 Equip B	15	Junk	18	Act 2 Good	4	Potion 0	7																0
Act 2 Cast C	8	18	1					95	gld	18	Act 2 Equip C	15	Junk	18	Act 3 Good	4	Potion 0	7																0
Act 3 Cast A	8	20	1					95	gld	18	Act 3 Equip A	15	Junk	18	Act 3 Good	4	Potion 0	7																0
Act 3 Cast B	8	22	1					95	gld	18	Act 3 Equip B	15	Junk	18	Act 3 Good	4	Potion 0	7																0
Act 3 Cast C	8	24	1					95	gld	18	Act 3 Equip C	15	Junk	18	Act 3 Good	4	Potion 0	7																0
Act 4 Cast A	8	26	1					95	gld	18	Act 4 Equip A	15	Junk	18	Act 4 Good	4	Potion 1	7																0
Act 4 Cast B	8	29	1					95	gld	18	Act 4 Equip B	15	Junk	18	Act 4 Good	4	Potion 1	7																0
Act 5 Cast A	8	32	1					95	gld	18	Act 5 Equip A	15	Junk	18	Act 5 Good	4	Potion 1	7																0
Act 5 Cast B	8	34	1					95	gld	18	Act 5 Equip B	15	Junk	18	Act 5 Good	4	Potion 1	7																0
Act 5 Cast C	8	36	1					95	gld	18	Act 5 Equip C	15	Junk	18	Act 5 Good	4	Potion 1	7																0
Act 1 (N) Cast A	8	38	1					95	gld	18	Act 1 (N) Equip A	15	Junk (N)	18	Act 1 (N) Good	4	Potion 2	7																0
Act 1 (N) Cast B	8	40	1					95	gld	18	Act 1 (N) Equip B	15	Junk (N)	18	Act 1 (N) Good	4	Potion 2	7																0
Act 1 (N) Cast C	8	41	1					95	gld	18	Act 1 (N) Equip B	15	Junk (N)	18	Act 1 (N) Good	4	Potion 2	7																0
Act 2 (N) Cast A	8	42	1					95	gld	18	Act 2 (N) Equip A	15	Junk (N)	18	Act 2 (N) Good	4	Potion 2	7																0
Act 2 (N) Cast B	8	44	1					95	gld	18	Act 2 (N) Equip B	15	Junk (N)	18	Act 2 (N) Good	4	Potion 2	7																0
Act 2 (N) Cast C	8	45	1					95	gld	18	Act 2 (N) Equip B	15	Junk (N)	18	Act 2 (N) Good	4	Potion 2	7																0
Act 3 (N) Cast A	8	46	1					95	gld	18	Act 3 (N) Equip A	15	Junk (N)	18	Act 3 (N) Good	4	Potion 2	7																0
Act 3 (N) Cast B	8	48	1					95	gld	18	Act 3 (N) Equip B	15	Junk (N)	18	Act 3 (N) Good	4	Potion 2	7																0
Act 3 (N) Cast C	8	50	1					95	gld	18	Act 3 (N) Equip B	15	Junk (N)	18	Act 3 (N) Good	4	Potion 2	7																0
Act 4 (N) Cast A	8	51	1					95	gld	18	Act 4 (N) Equip A	15	Junk (N)	18	Act 4 (N) Good	4	Potion 2	7																0
Act 4 (N) Cast B	8	54	1					95	gld	18	Act 4 (N) Equip B	15	Junk (N)	18	Act 4 (N) Good	4	Potion 2	7																0
Act 5 (N) Cast A	8	57	1					95	gld	18	Act 5 (N) Equip A	15	Junk (N)	18	Act 5 (N) Good	4	Potion 2	7																0
Act 5 (N) Cast B	8	60	1					95	gld	18	Act 5 (N) Equip B	15	Junk (N)	18	Act 5 (N) Good	4	Potion 2	7																0
Act 5 (N) Cast C	8	62	1					95	gld	18	Act 5 (N) Equip C	15	Junk (N)	18	Act 5 (N) Good	4	Potion 2	7																0
Act 1 (H) Cast A	8	63	1					95	gld	18	Act 1 (H) Equip A	15	Junk (H)	18	Act 1 (H) Good	4	Potion 2	7																0
Act 1 (H) Cast B	8	66	1					95	gld	18	Act 1 (H) Equip B	15	Junk (H)	18	Act 1 (H) Good	4	Potion 2	7																0
Act 1 (H) Cast C	8	68	1					95	gld	18	Act 1 (H) Equip B	15	Junk (H)	18	Act 1 (H) Good	4	Potion 2	7																0
Act 2 (H) Cast A	8	69	1					95	gld	18	Act 2 (H) Equip A	15	Junk (H)	18	Act 2 (H) Good	4	Potion 2	7																0
Act 2 (H) Cast B	8	71	1					95	gld	18	Act 2 (H) Equip B	15	Junk (H)	18	Act 2 (H) Good	4	Potion 2	7																0
Act 2 (H) Cast C	8	72	1					95	gld	18	Act 2 (H) Equip B	15	Junk (H)	18	Act 2 (H) Good	4	Potion 2	7																0
Act 3 (H) Cast A	8	74	1					95	gld	18	Act 3 (H) Equip A	15	Junk (H)	18	Act 3 (H) Good	4	Potion 2	7																0
Act 3 (H) Cast B	8	75	1					95	gld	18	Act 3 (H) Equip B	15	Junk (H)	18	Act 3 (H) Good	4	Potion 2	7																0
Act 3 (H) Cast C	8	77	1					95	gld	18	Act 3 (H) Equip B	15	Junk (H)	18	Act 3 (H) Good	4	Potion 2	7																0
Act 4 (H) Cast A	8	78	1					95	gld	18	Act 4 (H) Equip A	15	Junk (H)	18	Act 4 (H) Good	4	Potion 2	7																0
Act 4 (H) Cast B	8	80	1					95	gld	18	Act 4 (H) Equip B	15	Junk (H)	18	Act 4 (H) Good	4	Potion 2	7																0
Act 5 (H) Cast A	8	81	1					95	gld	18	Act 5 (H) Equip A	15	Junk (H)	18	Act 5 (H) Good	4	Potion 2	7																0
Act 5 (H) Cast B	8	83	1					95	gld	18	Act 5 (H) Equip B	15	Junk (H)	18	Act 5 (H) Good	4	Potion 2	7																0
Act 5 (H) Cast C	8	85	1					95	gld	18	Act 5 (H) Equip C	15	Junk (H)	18	Act 5 (H) Good	4	Potion 2	7																0
Act 1 Miss A	9	0	1					95	gld	18	Act 1 Equip A	13	Junk	18	Act 1 Good	4	Act 1 Bow A	6	Ammo	3														0
Act 1 Miss B	9	5	1					95	gld	18	Act 1 Equip B	13	Junk	18	Act 1 Good	4	Act 1 Bow B	6	Ammo	3														0
Act 1 Miss C	9	9	1					95	gld	18	Act 1 Equip C	13	Junk	18	Act 1 Good	4	Act 1 Bow C	6	Ammo	3														0
Act 2 Miss A	9	12	1					95	gld	18	Act 2 Equip A	13	Junk	18	Act 2 Good	4	Act 2 Bow A	6	Ammo	3														0
Act 2 Miss B	9	15	1					95	gld	18	Act 2 Equip B	13	Junk	18	Act 2 Good	4	Act 2 Bow B	6	Ammo	3														0
Act 2 Miss C	9	18	1					95	gld	18	Act 2 Equip C	13	Junk	18	Act 3 Good	4	Act 2 Bow C	6	Ammo	3														0
Act 3 Miss A	9	20	1					95	gld	18	Act 3 Equip A	13	Junk	18	Act 3 Good	4	Act 3 Bow A	6	Ammo	3														0
Act 3 Miss B	9	22	1					95	gld	18	Act 3 Equip B	13	Junk	18	Act 3 Good	4	Act 3 Bow B	6	Ammo	3														0
Act 3 Miss C	9	24	1					95	gld	18	Act 3 Equip C	13	Junk	18	Act 3 Good	4	Act 3 Bow C	6	Ammo	3														0
Act 4 Miss A	9	26	1					95	gld	18	Act 4 Equip A	13	Junk	18	Act 4 Good	4	Act 4 Bow A	6	Ammo	3														0
Act 4 Miss B	9	29	1					95	gld	18	Act 4 Equip B	13	Junk	18	Act 4 Good	4	Act 4 Bow B	6	Ammo	3														0
Act 5 Miss A	9	32	1					95	gld	18	Act 5 Equip A	13	Junk	18	Act 5 Good	4	Act 5 Bow A	6	Ammo	3														0
Act 5 Miss B	9	34	1					95	gld	18	Act 5 Equip B	13	Junk	18	Act 5 Good	4	Act 5 Bow B	6	Ammo	3														0
Act 5 Miss C	9	36	1					95	gld	18	Act 5 Equip C	13	Junk	18	Act 5 Good	4	Act 5 Bow B	6	Ammo	3														0
Act 1 (N) Miss A	9	38	1					95	gld	18	Act 1 (N) Equip A	13	Junk (N)	18	Act 1 (N) Good	4	Act 1 (N) Bow A	6	Ammo	3														0
Act 1 (N) Miss B	9	40	1					95	gld	18	Act 1 (N) Equip B	13	Junk (N)	18	Act 1 (N) Good	4	Act 1 (N) Bow B	6	Ammo	3														0
Act 1 (N) Miss C	9	41	1					95	gld	18	Act 1 (N) Equip B	13	Junk (N)	18	Act 1 (N) Good	4	Act 1 (N) Bow B	6	Ammo	3														0
Act 2 (N) Miss A	9	42	1					95	gld	18	Act 2 (N) Equip A	13	Junk (N)	18	Act 2 (N) Good	4	Act 2 (N) Bow A	6	Ammo	3														0
Act 2 (N) Miss B	9	44	1					95	gld	18	Act 2 (N) Equip B	13	Junk (N)	18	Act 2 (N) Good	4	Act 2 (N) Bow B	6	Ammo	3														0
Act 2 (N) Miss C	9	45	1					95	gld	18	Act 2 (N) Equip B	13	Junk (N)	18	Act 2 (N) Good	4	Act 2 (N) Bow B	6	Ammo	3														0
Act 3 (N) Miss A	9	46	1					95	gld	18	Act 3 (N) Equip A	13	Junk (N)	18	Act 3 (N) Good	4	Act 3 (N) Bow A	6	Ammo	3														0
Act 3 (N) Miss B	9	48	1					95	gld	18	Act 3 (N) Equip B	13	Junk (N)	18	Act 3 (N) Good	4	Act 3 (N) Bow B	6	Ammo	3														0
Act 3 (N) Miss C	9	50	1					95	gld	18	Act 3 (N) Equip B	13	Junk (N)	18	Act 3 (N) Good	4	Act 3 (N) Bow B	6	Ammo	3														0
Act 4 (N) Miss A	9	51	1					95	gld	18	Act 4 (N) Equip A	13	Junk (N)	18	Act 4 (N) Good	4	Act 4 (N) Bow A	6	Ammo	3														0
Act 4 (N) Miss B	9	54	1					95	gld	18	Act 4 (N) Equip B	13	Junk (N)	18	Act 4 (N) Good	4	Act 4 (N) Bow B	6	Ammo	3														0
Act 5 (N) Miss A	9	57	1					95	gld	18	Act 5 (N) Equip A	13	Junk (N)	18	Act 5 (N) Good	4	Act 5 (N) Bow A	6	Ammo	3														0
Act 5 (N) Miss B	9	60	1					95	gld	18	Act 5 (N) Equip B	13	Junk (N)	18	Act 5 (N) Good	4	Act 5 (N) Bow B	6	Ammo	3														0
Act 5 (N) Miss C	9	62	1					95	gld	18	Act 5 (N) Equip C	13	Junk (N)	18	Act 5 (N) Good	4	Act 5 (N) Bow B	6	Ammo	3														0
Act 1 (H) Miss A	9	63	1					95	gld	18	Act 1 (H) Equip A	13	Junk (H)	18	Act 1 (H) Good	4	Act 1 (H) Bow A	6	Ammo	3														0
Act 1 (H) Miss B	9	66	1					95	gld	18	Act 1 (H) Equip B	13	Junk (H)	18	Act 1 (H) Good	4	Act 1 (H) Bow B	6	Ammo	3														0
Act 1 (H) Miss C	9	68	1					95	gld	18	Act 1 (H) Equip B	13	Junk (H)	18	Act 1 (H) Good	4	Act 1 (H) Bow B	6	Ammo	3														0
Act 2 (H) Miss A	9	69	1					95	gld	18	Act 2 (H) Equip A	13	Junk (H)	18	Act 2 (H) Good	4	Act 2 (H) Bow A	6	Ammo	3														0
Act 2 (H) Miss B	9	71	1					95	gld	18	Act 2 (H) Equip B	13	Junk (H)	18	Act 2 (H) Good	4	Act 2 (H) Bow B	6	Ammo	3														0
Act 2 (H) Miss C	9	72	1					95	gld	18	Act 2 (H) Equip B	13	Junk (H)	18	Act 2 (H) Good	4	Act 2 (H) Bow B	6	Ammo	3														0
Act 3 (H) Miss A	9	74	1					95	gld	18	Act 3 (H) Equip A	13	Junk (H)	18	Act 3 (H) Good	4	Act 3 (H) Bow A	6	Ammo	3														0
Act 3 (H) Miss B	9	75	1					95	gld	18	Act 3 (H) Equip B	13	Junk (H)	18	Act 3 (H) Good	4	Act 3 (H) Bow B	6	Ammo	3														0
Act 3 (H) Miss C	9	77	1					95	gld	18	Act 3 (H) Equip B	13	Junk (H)	18	Act 3 (H) Good	4	Act 3 (H) Bow B	6	Ammo	3														0
Act 4 (H) Miss A	9	78	1					95	gld	18	Act 4 (H) Equip A	13	Junk (H)	18	Act 4 (H) Good	4	Act 4 (H) Bow A	6	Ammo	3														0
Act 4 (H) Miss B	9	80	1					95	gld	18	Act 4 (H) Equip B	13	Junk (H)	18	Act 4 (H) Good	4	Act 4 (H) Bow B	6	Ammo	3														0
Act 5 (H) Miss A	9	81	1					95	gld	18	Act 5 (H) Equip A	13	Junk (H)	18	Act 5 (H) Good	4	Act 5 (H) Bow A	6	Ammo	3														0
Act 5 (H) Miss B	9	83	1					95	gld	18	Act 5 (H) Equip B	13	Junk (H)	18	Act 5 (H) Good	4	Act 5 (H) Bow B	6	Ammo	3														0
Act 5 (H) Miss C	9	85	1					95	gld	18	Act 5 (H) Equip C	13	Junk (H)	18	Act 5 (H) Good	4	Act 5 (H) Bow B	6	Ammo	3														0
Act 1 Wraith A	10	0	1					75	Act 1 Good	4	Potion 0	25																						0
Act 1 Wraith B	10	5	1					75	Act 1 Good	4	Potion 0	25																						0
Act 1 Wraith C	10	9	1					75	Act 1 Good	4	Potion 0	25																						0
Act 2 Wraith A	10	12	1					75	Act 2 Good	4	Potion 0	25																						0
Act 2 Wraith B	10	15	1					75	Act 2 Good	4	Potion 0	25																						0
Act 2 Wraith C	10	18	1					75	Act 3 Good	4	Potion 0	25																						0
Act 3 Wraith A	10	20	1					75	Act 3 Good	4	Potion 0	25																						0
Act 3 Wraith B	10	22	1					75	Act 3 Good	4	Potion 0	25																						0
Act 3 Wraith C	10	24	1					75	Act 3 Good	4	Potion 0	25																						0
Act 4 Wraith A	10	26	1					75	Act 4 Good	4	Potion 1	25																						0
Act 4 Wraith B	10	29	1					75	Act 4 Good	4	Potion 1	25																						0
Act 5 Wraith A	10	32	1					75	Act 5 Good	4	Potion 1	25																						0
Act 5 Wraith B	10	34	1					75	Act 5 Good	4	Potion 1	25																						0
Act 5 Wraith C	10	36	1					75	Act 5 Good	4	Potion 1	25																						0
Act 1 (N) Wraith A	10	38	1					75	Act 1 (N) Good	4	Potion 2	25																						0
Act 1 (N) Wraith B	10	40	1					75	Act 1 (N) Good	4	Potion 2	25																						0
Act 1 (N) Wraith C	10	41	1					75	Act 1 (N) Good	4	Potion 2	25																						0
Act 2 (N) Wraith A	10	42	1					75	Act 2 (N) Good	4	Potion 2	25																						0
Act 2 (N) Wraith B	10	44	1					75	Act 2 (N) Good	4	Potion 2	25																						0
Act 2 (N) Wraith C	10	45	1					75	Act 2 (N) Good	4	Potion 2	25																						0
Act 3 (N) Wraith A	10	46	1					75	Act 3 (N) Good	4	Potion 2	25																						0
Act 3 (N) Wraith B	10	48	1					75	Act 3 (N) Good	4	Potion 2	25																						0
Act 3 (N) Wraith C	10	50	1					75	Act 3 (N) Good	4	Potion 2	25																						0
Act 4 (N) Wraith A	10	51	1					75	Act 4 (N) Good	4	Potion 2	25																						0
Act 4 (N) Wraith B	10	54	1					75	Act 4 (N) Good	4	Potion 2	25																						0
Act 5 (N) Wraith A	10	57	1					75	Act 5 (N) Good	4	Potion 2	25																						0
Act 5 (N) Wraith B	10	60	1					75	Act 5 (N) Good	4	Potion 2	25																						0
Act 5 (N) Wraith C	10	62	1					75	Act 5 (N) Good	4	Potion 2	25																						0
Act 1 (H) Wraith A	10	63	1					75	Act 1 (H) Good	4	Potion 2	25																						0
Act 1 (H) Wraith B	10	66	1					75	Act 1 (H) Good	4	Potion 2	25																						0
Act 1 (H) Wraith C	10	68	1					75	Act 1 (H) Good	4	Potion 2	25																						0
Act 2 (H) Wraith A	10	69	1					75	Act 2 (H) Good	4	Potion 2	25																						0
Act 2 (H) Wraith B	10	71	1					75	Act 2 (H) Good	4	Potion 2	25																						0
Act 2 (H) Wraith C	10	72	1					75	Act 2 (H) Good	4	Potion 2	25																						0
Act 3 (H) Wraith A	10	74	1					75	Act 3 (H) Good	4	Potion 2	25																						0
Act 3 (H) Wraith B	10	75	1					75	Act 3 (H) Good	4	Potion 2	25																						0
Act 3 (H) Wraith C	10	77	1					75	Act 3 (H) Good	4	Potion 2	25																						0
Act 4 (H) Wraith A	10	78	1					75	Act 4 (H) Good	4	Potion 2	25																						0
Act 4 (H) Wraith B	10	80	1					75	Act 4 (H) Good	4	Potion 2	25																						0
Act 5 (H) Wraith A	10	81	1					75	Act 5 (H) Good	4	Potion 2	25																						0
Act 5 (H) Wraith B	10	83	1					75	Act 5 (H) Good	4	Potion 2	25																						0
Act 5 (H) Wraith C	10	85	1					75	Act 5 (H) Good	4	Potion 2	25																						0
Act 1 Citem A	11	0	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 Equip A	37	Act 1 Good	4																				0
Act 1 Citem B	11	5	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 Equip B	37	Act 1 Good	4																				0
Act 1 Citem C	11	9	1	800	800	800	1024	0	gld,mul=1280	60	Act 1 Equip C	37	Act 1 Good	4																				0
Act 2 Citem A	11	12	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 Equip A	37	Act 2 Good	4																				0
Act 2 Citem B	11	15	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 Equip B	37	Act 2 Good	4																				0
Act 2 Citem C	11	18	1	800	800	800	1024	0	gld,mul=1280	60	Act 2 Equip C	37	Act 3 Good	4																				0
Act 3 Citem A	11	20	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 Equip A	37	Act 3 Good	4																				0
Act 3 Citem B	11	22	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 Equip B	37	Act 3 Good	4																				0
Act 3 Citem C	11	24	1	800	800	800	1024	0	gld,mul=1280	60	Act 3 Equip C	37	Act 3 Good	4																				0
Act 4 Citem A	11	26	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 Equip A	37	Act 4 Good	4																				0
Act 4 Citem B	11	29	1	800	800	800	1024	0	gld,mul=1280	60	Act 4 Equip B	37	Act 4 Good	4																				0
Act 5 Citem A	11	32	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 Equip A	37	Act 5 Good	4																				0
Act 5 Citem B	11	34	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 Equip B	37	Act 5 Good	4																				0
Act 5 Citem C	11	36	1	800	800	800	1024	0	gld,mul=1280	60	Act 5 Equip C	37	Act 5 Good	4																				0
