Log started at Thu Sep 21 2023 22:17:32 GMT+0200 (Centraleuropæisk sommertid)
WARN	Basic/NoDuplicateExcel	itemtypes.txt - duplicate detected on lines 93 and 238 for field 'code' (ncha)
WARN	Cube/ValidInputs	cubemain.txt, line 3283: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3283: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3283: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3284: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Ith Rune + Perfect Amethyst -> Caster Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3285: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3285: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3285: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3286: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3287: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3287: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3287: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3288: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Eth Rune + Perfect Amethyst -> Caster Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3289: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3289: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3289: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3290: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3291: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3291: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3291: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3292: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Tal Rune + Perfect Amethyst -> Caster Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3293: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Ral Rune + Perfect Amethyst -> Caster Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3293: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Ral Rune + Perfect Amethyst -> Caster Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3293: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Ral Rune + Perfect Amethyst -> Caster Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3294: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Ral Rune + Perfect Amethyst -> Caster Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3295: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Amethyst -> Caster Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3295: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Amethyst -> Caster Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3295: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Amethyst -> Caster Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3296: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Amethyst -> Caster Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3297: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3297: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3297: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3298: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3299: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3299: couldn't find 'r05,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3299: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3300: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Tir Rune + Perfect Amethyst -> Caster Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3302: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3302: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3302: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3303: couldn't find 'helm,mag,noe' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3304: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3304: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3304: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3305: couldn't find 'helm,mag,eth' for input 1 in recipe '1 Magic Helm + 1 Jewel Fragment + 1 Ith Rune + Perfect Emerald -> Safety Helm'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3306: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3306: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3306: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3307: couldn't find 'boot,mag,noe' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3308: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3308: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3308: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3309: couldn't find 'boot,mag,eth' for input 1 in recipe '1 Magic Boots + 1 Jewel Fragment + 1 Ort Rune + Perfect Emerald -> Safety Boots'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3310: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3310: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3310: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3311: couldn't find 'glov,mag,noe' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3312: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3312: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3312: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3313: couldn't find 'glov,mag,eth' for input 1 in recipe '1 Magic Gloves + 1 Jewel Fragment + 1 Ral Rune + Perfect Emerald -> Safety Gloves'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3314: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3314: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3314: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3315: couldn't find 'belt,mag,noe' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3316: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3316: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3316: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3317: couldn't find 'belt,mag,eth' for input 1 in recipe '1 Magic Belt + 1 Jewel Fragment + 1 Tal Rune + Perfect Emerald -> Safety Belt'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3318: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3318: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3318: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3319: couldn't find 'shld,mag,noe' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3320: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3320: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3320: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3321: couldn't find 'shld,mag,eth' for input 1 in recipe '1 Magic Shield + 1 Jewel Fragment + 1 Nef Rune + Perfect Emerald -> Safety Shield'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3322: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3322: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3322: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3323: couldn't find 'tors,mag,noe' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3324: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3324: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3324: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3325: couldn't find 'tors,mag,eth' for input 1 in recipe '1 Magic Torso + 1 Jewel Fragment + 1 Eth Rune + Perfect Emerald -> Safety Torso'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3326: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Emerald -> Safety Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3326: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Emerald -> Safety Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3326: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Emerald -> Safety Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3327: couldn't find 'amul,mag' for input 1 in recipe '1 Magic Amulet + 1 Jewel Fragment + 1 Thul Rune + Perfect Emerald -> Safety Amulet'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3328: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Emerald -> Safety Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3328: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Emerald -> Safety Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3328: couldn't find 'gpg,qty=1' for input 4 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Emerald -> Safety Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3329: couldn't find 'ring,mag' for input 1 in recipe '1 Magic Ring + 1 Jewel Fragment + 1 Amn Rune + Perfect Emerald -> Safety Ring'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3330: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3330: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3330: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3331: couldn't find 'weap,mag,noe' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3332: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3332: couldn't find 'r02,qty=1' for input 3 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3332: couldn't find 'gpb,qty=1' for input 4 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
WARN	Cube/ValidInputs	cubemain.txt, line 3333: couldn't find 'weap,mag,eth' for input 1 in recipe '1 Magic Weapon + 1 Jewel Fragment + 1 Sol Rune + Perfect Emerald -> Safety Weapon'
MESSAGE	Cube/ValidInputs	(hint: try wrapping with quotation marks)
